,WBTCUSDT,BTCUSDT,YFIUSDT,BNBUSDT,ETHUSDT,AAVEUSDT,SOLUSDT,MKRUSDT,TAOUSDT,WBETHUSDT
WBTCUSDT,1.0,0.9999817358188736,0.40217577279075833,0.830544249496932,0.628690577624931,0.801083048956589,0.9221721641325595,-0.11967101605300312,-0.35532704207896426,0.6666562008081531
BTCUSDT,0.9999817358188736,1.0,0.4021779891908402,0.8295916305802714,0.6263919655705388,0.8026570312950179,0.9219802624620036,-0.12228641966792098,-0.35532331736953804,0.6644374687705787
YFIUSDT,0.40217577279075833,0.4021779891908402,1.0,0.08878090910590342,0.6409534781347548,0.4224049672082079,0.294187702117105,0.35465716598447383,-0.641241661276095,0.6289853423685111
BNBUSDT,0.830544249496932,0.8295916305802714,0.08878090910590342,1.0,0.5761522524084336,0.5570582061079327,0.8237368861631579,0.04995928079427573,-0.20997864767287097,0.6120003460467055
ETHUSDT,0.628690577624931,0.6263919655705388,0.6409534781347548,0.5761522524084336,1.0,0.2906893406656944,0.5958538527305342,0.5158119511307248,-0.5030423121906287,0.998450509850463
AAVEUSDT,0.801083048956589,0.8026570312950179,0.4224049672082079,0.5570582061079327,0.2906893406656944,1.0,0.6215023724760472,-0.398316861498819,0.14338026785577876,0.33073545641833607
SOLUSDT,0.9221721641325595,0.9219802624620036,0.294187702117105,0.8237368861631579,0.5958538527305342,0.6215023724760472,1.0,0.015026340795322462,-0.3290149621419029,0.6303703135723447
MKRUSDT,-0.11967101605300312,-0.12228641966792098,0.35465716598447383,0.04995928079427573,0.5158119511307248,-0.398316861498819,0.015026340795322462,1.0,-0.6346327769624597,0.48169835078575096
TAOUSDT,-0.35532704207896426,-0.35532331736953804,-0.641241661276095,-0.20997864767287097,-0.5030423121906287,0.14338026785577876,-0.3290149621419029,-0.6346327769624597,1.0,-0.48554168561114525
WBETHUSDT,0.6666562008081531,0.6644374687705787,0.6289853423685111,0.6120003460467055,0.998450509850463,0.33073545641833607,0.6303703135723447,0.48169835078575096,-0.48554168561114525,1.0
