Symbol,Last Price,24h High,24h Low,24h Volume
BTCUSDT,97905.60000000,98778.43000000,97276.79000000,780021778.27575920
ETHUSDT,3627.07000000,3675.25000000,3592.06000000,689233827.76776500
BNBUSDT,707.31000000,717.11000000,702.51000000,94889121.77061000
SOLUSDT,213.55000000,219.05000000,211.61000000,448407707.02917000
MKRUSDT,1566.00000000,1632.00000000,1551.00000000,6277588.27380000
YFIUSDT,8773.00000000,8987.00000000,8638.00000000,2995085.41468000
AAVEUSDT,343.60000000,358.38000000,340.47000000,46592166.28608000
WBTCUSDT,97668.47000000,98529.50000000,97107.70000000,4372329.01579130
WBETHUSDT,3840.87000000,3888.99000000,3796.36000000,14678242.46479300
TAOUSDT,561.20000000,576.00000000,547.70000000,39950528.83459000
